Month,Actual,Predicted
2023-09,6,5.9999456
2023-09,10,9.99978
2023-09,2,2.0000343
2023-10,2,2.0000343
2023-10,2,2.0000343
2023-10,4,3.9999979
2023-10,2,2.0000343
2023-10,7,6.9998827
2023-10,2,2.0000343
2023-10,5,4.9999757
2023-10,5,4.9999757
2023-10,4,3.9999979
2023-10,8,7.9998355
2023-10,2,2.0000343
2023-10,4,3.9999979
2023-10,3,3.0000074
2023-10,2,2.0000343
2023-10,4,3.9999979
2023-10,3,3.0000074
2023-10,1,1.0000943
2023-10,2,2.0000343
2023-10,1,1.0000943
2023-10,4,3.9999979
2023-10,7,6.9998827
2023-10,3,3.0000074
2023-10,6,5.9999456
2023-10,4,3.9999979
2023-10,1,1.0000943
2023-10,3,3.0000074
2023-10,5,4.9999757
2023-10,5,4.9999757
2023-11,4,3.9999979
2023-11,1,1.0000943
2023-11,3,3.0000074
2023-11,1,1.0000943
2023-11,2,2.0000343
2023-11,1,1.0000943
2023-11,2,2.0000343
2023-11,2,2.0000343
2023-11,2,2.0000343
2023-11,2,2.0000343
2023-11,1,1.0000943
2023-11,3,3.0000074
2023-11,1,1.0000943
2023-11,8,7.9998355
2023-11,11,10.999747
2023-11,10,9.99978
2023-11,6,5.9999456
2023-11,1,1.0000943
2023-11,4,3.9999979
2023-11,1,1.0000943
2023-11,2,2.0000343
2023-11,7,6.9998827
2023-12,4,3.9999979
2023-12,1,1.0000943
2023-12,1,1.0000943
2023-12,1,1.0000943
2023-12,1,1.0000943
2023-12,1,1.0000943
2023-12,1,1.0000943
2023-12,2,2.0000343
2023-12,3,3.0000074
2023-12,1,1.0000943
2023-12,2,2.0000343
2023-12,1,1.0000943
2023-12,7,6.9998827
2023-12,17,16.99921
2023-12,3,3.0000074
2023-12,8,7.9998355
2023-12,3,3.0000074
2023-12,1,1.0000943
2023-12,13,12.999597
2024-01,1,1.0000943
2024-01,1,1.0000943
2024-01,1,1.0000943
2024-01,1,1.0000943
2024-01,1,1.0000943
2024-01,1,1.0000943
2024-01,2,2.0000343
2024-01,2,2.0000343
2024-01,1,1.0000943
2024-01,1,1.0000943
2024-01,1,1.0000943
2024-01,3,3.0000074
2024-01,6,5.9999456
2024-01,12,11.999688
2024-01,8,7.9998355
2024-01,7,6.9998827
2024-01,1,1.0000943
2024-01,2,2.0000343
2024-02,3,3.0000074
2024-02,1,1.0000943
2024-02,1,1.0000943
2024-02,1,1.0000943
2024-02,3,3.0000074
2024-02,6,5.9999456
2024-02,1,1.0000943
2024-02,12,11.999688
2024-02,3,3.0000074
2024-02,1,1.0000943
2024-02,10,9.99978
2024-02,1,1.0000943
2024-02,1,1.0000943
2024-03,1,1.0000943
2024-03,1,1.0000943
2024-03,2,2.0000343
2024-03,6,5.9999456
2024-03,8,7.9998355
2024-03,2,2.0000343
2024-03,1,1.0000943
2024-03,7,6.9998827
2024-04,1,1.0000943
2024-04,1,1.0000943
2024-04,1,1.0000943
2024-04,1,1.0000943
2024-04,4,3.9999979
2024-04,6,5.9999456
2024-04,7,6.9998827
2024-04,11,10.999747
2024-04,3,3.0000074
2024-05,3,3.0000074
2024-05,1,1.0000943
2024-05,2,2.0000343
2024-05,2,2.0000343
2024-05,6,5.9999456
2024-05,2,2.0000343
2024-05,1,1.0000943
2024-05,3,3.0000074
2024-05,2,2.0000343
2024-05,2,2.0000343
2024-05,1,1.0000943
2024-05,5,4.9999757
2024-05,2,2.0000343
2024-05,2,2.0000343
2024-05,1,1.0000943
2024-05,1,1.0000943
2024-05,1,1.0000943
2024-05,1,1.0000943
2024-05,4,3.9999979
2024-05,11,10.999747
2024-05,1,1.0000943
2024-05,7,6.9998827
2024-05,5,4.9999757
2024-05,1,1.0000943
2024-05,1,1.0000943
2024-05,6,5.9999456
2024-06,6,5.9999456
2024-06,8,7.9998355
2024-06,9,8.999813
2024-06,7,6.9998827
2024-06,5,4.9999757
2024-06,6,5.9999456
2024-06,8,7.9998355
2024-06,12,11.999688
2024-06,10,9.99978
2024-06,7,6.9998827
2024-06,9,8.999813
2024-06,14,13.999542
2024-06,6,5.9999456
2024-06,3,3.0000074
2024-06,5,4.9999757
2024-06,7,6.9998827
2024-06,1,1.0000943
2024-06,1,1.0000943
2024-06,8,7.9998355
2024-06,19,18.992384
2024-06,5,4.9999757
2024-06,2,2.0000343
2024-06,4,3.9999979
2024-06,2,2.0000343
2024-06,1,1.0000943
2024-06,3,3.0000074
2024-06,4,3.9999979
2024-06,8,7.9998355
2024-07,4,3.9999979
2024-07,7,6.9998827
2024-07,8,7.9998355
2024-07,10,9.99978
2024-07,5,4.9999757
2024-07,6,5.9999456
2024-07,7,6.9998827
2024-07,10,9.99978
2024-07,9,8.999813
2024-07,9,8.999813
2024-07,10,9.99978
2024-07,10,9.99978
2024-07,5,4.9999757
2024-07,8,7.9998355
2024-07,1,1.0000943
2024-07,1,1.0000943
2024-07,9,8.999813
2024-07,4,3.9999979
2024-07,11,10.999747
2024-07,7,6.9998827
2024-07,1,1.0000943
2024-07,5,4.9999757
2024-07,6,5.9999456
2024-07,10,9.99978
2024-07,10,9.99978
2024-07,5,4.9999757
2024-08,7,6.9998827
2024-08,11,10.999747
2024-08,6,5.9999456
2024-08,6,5.9999456
2024-08,5,4.9999757
2024-08,5,4.9999757
2024-08,7,6.9998827
2024-08,4,3.9999979
2024-08,5,4.9999757
2024-08,3,3.0000074
2024-08,11,10.999747
2024-08,4,3.9999979
2024-08,11,10.999747
2024-08,7,6.9998827
2024-08,8,7.9998355
2024-08,4,3.9999979
2024-08,7,6.9998827
2024-08,1,1.0000943
2024-08,1,1.0000943
2024-08,1,1.0000943
2024-08,5,4.9999757
2024-08,6,5.9999456
2024-08,5,4.9999757
2024-08,1,1.0000943
2024-08,1,1.0000943
2024-08,5,4.9999757
